Eje,Categoria,Tema
Exportacion,Alimentos,Productos procesados del mar
Exportacion,Farmaceúticos,Productos farmacéuticos veterinarios
Exportacion,Farmaceúticos,Productos farmacéuticos
Exportacion,"Pulpa, Papel e Impresión",Productos editoriales
Exportacion,Químicos ,Productos diversos de las industrias químicas.
Exportacion,Alimentos,Productos de panadería y molinería
Exportacion,Salud y Belleza,Productos de aseo personal
Exportacion,Alimentos,Productos cárnicos
Exportacion,Salud y Belleza,Productos capilares
Exportacion,Industrias Creativas y Digitales,Productos audiovisuales
Exportacion,Alimentos,Preparaciones alimenticias diversas
Exportacion,Materiales de Construcción,Prefabricados
Exportacion,Plástico y Caucho,Plástico y sus manufacturas
Exportacion,Materiales de Construcción,Plástico y caucho (materiales de construcción)
Exportacion,Suministros Industriales,Plástico y caucho (artículos industriales)
Exportacion,Plástico y Caucho,Plástico en formas primarias
Exportacion,Plástico y Caucho,Plástico (plástico y caucho)
Exportacion,Flores y Plantas Vivas,Plantas vivas
Exportacion,Cuero y Sus Productos,Pieles de babilla
Exportacion,Alimentos,"Pescados y subproductos de pescado secos, salados, ahumados"
Exportacion,Cuero y Sus Productos,Peletería (cuero manufacturas de cuero)
Exportacion,Químicos ,Pastas para moldear y demás preparaciones para odontología
Exportacion,Partes Mecánicas,"Partes, repuestos y piezas para automotores"
Exportacion,Partes Mecánicas,Partes y accesorios de vehículos
Exportacion,Partes Mecánicas,Partes y accesorios de motocicletas
Exportacion,Partes Mecánicas,Partes de otros medios de transporte
Exportacion,"Pulpa, Papel e Impresión",Papeles suaves
Exportacion,"Pulpa, Papel e Impresión",Papeles para imprenta
Exportacion,"Pulpa, Papel e Impresión",Papeles para empaques
Exportacion,"Pulpa, Papel e Impresión",Papeles corrugados
Exportacion,Materiales de Construcción,Papel cartón y textiles
Exportacion,Alimentos,Panela y otros edulcorantes
Exportacion,Salud y Belleza,Otros productos de aseo
Exportacion,"Pulpa, Papel e Impresión",Otros papeles y cartones
Exportacion,Vehículos y Automotriz,Otros medios de transporte
Exportacion,Alimentos,Otros lácteos
Exportacion,Químicos ,Otros agroquímicos de protección
Exportacion,Químicos ,Otros aceites y lubricantes
Exportacion,Alimentos,Otros aceites y grasas
Exportacion,Partes Mecánicas,Otras Autopartes
Exportacion,Joyas y piedras preciosas,Orfebrería
Exportacion,Suministros Hospitalarios y Médicos,Óptico
Exportacion,Materiales de Construcción,Níquel y plomo
Exportacion,"Muebles y Artículos para Hogares, Oficinas y Hoteles",Muebles - oficina
Exportacion,"Muebles y Artículos para Hogares, Oficinas y Hoteles",Muebles - hogar
Exportacion,Partes Mecánicas,Motores y sus partes
Exportacion,Vehículos y Automotriz,Motocicletas
Exportacion,Suministros Hospitalarios y Médicos,Mobiliario hospitalario
Exportacion,"Minerales, Vidrio y Cerámica",Mica
Exportacion,Maquinaria,Metalurgia
Exportacion,"Computadores y Equipos Electrónicos, Eléctricos y Telecomunicaciones",Medición
Exportacion,Maquinaria,Maquinaria industrial
Exportacion,Maquinaria,Maquinaria agrícola
Exportacion,Maquinaria,Manufacturas de hierro o acero
Exportacion,Cuero y Sus Productos,Manufacturas de cuero
Exportacion,Alimentos,Mantequilla y espacibles
Exportacion,"Muebles y Artículos para Hogares, Oficinas y Hoteles",Madera (muebles y maderas)
Exportacion,Materiales de Construcción,Madera (materiales de construcción)
Exportacion,Materiales de Construcción,Los demás metales comunes
Exportacion,Agrícola,Los demás (agroindustrial)
Exportacion,Alimentos,Los demás (agrícola)
Exportacion,Vehículos y Automotriz,Locomotoras y sus partes
Exportacion,Partes Mecánicas,Llantas neumáticas
Exportacion,Alimentos,Legumbres y hortalizas frescas
Exportacion,Alimentos,Leche
Exportacion,Joyas y piedras preciosas,Joyería
Exportacion,Químicos ,"Jabón, agentes de superficie orgánicos, preparación"
Exportacion,Comunicación Gráfica y Editorial,Insumos para la industria grafica
Exportacion,Suministros Hospitalarios y Médicos,"Instrumentos, aparatos y prótesis"
Exportacion,Químicos ,Insecticidas
Exportacion,Agrícola,Industria del tabaco
Exportacion,Materiales de Construcción,Hierro y acero
Exportacion,Alimentos,Hierbas aromáticas
Exportacion,Maquinaria,Herramientas
Exportacion,Químicos ,Herbicidas
Exportacion,Agrícola,"Grasas y aceites animales o vegetales, productos de"
Exportacion,Químicos ,Fungicidas
Exportacion,Alimentos,Frutas y hortalizas procesadas
Exportacion,Alimentos,Frutas frescas
Exportacion,Flores y Plantas Vivas,Follajes
Exportacion,Flores y Plantas Vivas,Flores frescas
Exportacion,Artesanias,Flores artificiales
Exportacion,Alimentos,Filetes de pescado
Exportacion,Químicos ,Fertilizantes
Exportacion,Químicos ,"Extractos, pigmentos y pinturas"
Exportacion,Artesanias,Estatuillas
Exportacion,Alimentos,Especias
Exportacion,Envases y Empaques,Envases y empaques de vidrio
Exportacion,Envases y Empaques,Envases y empaques de plomo
Exportacion,Envases y Empaques,Envases y empaques de plástico
Exportacion,Envases y Empaques,Envases y empaques de papel y cartón
Exportacion,Envases y Empaques,Envases y empaques de metal común
Exportacion,Envases y Empaques,Envases y empaques de madera
Exportacion,Envases y Empaques,Envases y empaques de hierro o acero
Exportacion,Envases y Empaques,Envases y empaques de fibras naturales y sintéticas
Exportacion,Envases y Empaques,Envases y empaques de corcho
Exportacion,Envases y Empaques,Envases y empaques de caucho
Exportacion,Envases y Empaques,Envases y empaques de aluminio
Exportacion,Textiles y Confecciones,Encajes hechos a mano
Exportacion,"Computadores y Equipos Electrónicos, Eléctricos y Telecomunicaciones",Electrodomésticos
Exportacion,"Muebles y Artículos para Hogares, Oficinas y Hoteles",Dotaciones hoteleras
Exportacion,Suministros Hospitalarios y Médicos,Dispositivos Médicos
Exportacion,"Minerales, Vidrio y Cerámica",Desperdicios y desechos de minerales metálicos
Exportacion,Químicos ,Desinfectantes agrícolas
Exportacion,Alimentos,Derivados del cacao
Exportacion,Alimentos,Derivados de café
Exportacion,Artesanias,Demás manufacturas u objetos de adorno
Exportacion,Salud y Belleza,Cosméticos
Exportacion,Alimentos,Confitería de cacao
Exportacion,Alimentos,Confitería de azúcar
Exportacion,Textiles y Confecciones,Confecciones
Exportacion,"Computadores y Equipos Electrónicos, Eléctricos y Telecomunicaciones",Conductores eléctricos
Exportacion,Materiales de Construcción,Cobre
Exportacion,Materiales de Construcción,Cinc
Exportacion,Alimentos,Cereales
Exportacion,Químicos ,Ceras
Exportacion,Materiales de Construcción,"Cerámica, arcilla y piedra"
Exportacion,Artesanias,Cerámica
Exportacion,Materiales de Construcción,Cemento
Exportacion,Plástico y Caucho,Caucho y sus manufacturas
Exportacion,Plástico y Caucho,Caucho natural
Exportacion,Suministros Industriales,Caucho (artículos industriales)
Exportacion,"Pulpa, Papel e Impresión",Cartulinas para plegadizas
Exportacion,Pecuario,Carnes y despojos comestibles (porcino)
Exportacion,Pecuario,Carnes y despojos comestibles (bovino)
Exportacion,Pecuario,Carnes y despojos comestibles (avícola)
Exportacion,Alimentos,"Camarones, crustáceos, langostinos y moluscos"
Exportacion,Calzado,Calzado
Exportacion,Alimentos,Café verde
Exportacion,Alimentos,Cacao
Exportacion,Joyas y piedras preciosas,Bisutería
Exportacion,Vehículos y Automotriz,Bicicletas
Exportacion,Químicos ,"Betunes, abrillantadores y preparaciones similares"
Exportacion,Alimentos,Bebidas no alcohólicas
Exportacion,Alimentos,Bebidas alcohólicas
Exportacion,Vehículos y Automotriz,Barcos y sus partes
Exportacion,Alimentos,Banano
Exportacion,Alimentos,Azúcar de caña
Exportacion,Alimentos,"Atunes frescos, congelados o refrigerados"
Exportacion,Comunicación Gráfica y Editorial,Artículos promocionales
Exportacion,Comunicación Gráfica y Editorial,Artículos para fotografía y cine
Exportacion,"Muebles y Artículos para Hogares, Oficinas y Hoteles",Artículos del hogar
Exportacion,"Muebles y Artículos para Hogares, Oficinas y Hoteles",Artículos de oficina
Exportacion,"Computadores y Equipos Electrónicos, Eléctricos y Telecomunicaciones",Aparatos eléctricos
Exportacion,Pecuario,Animales vivos (porcinos)
Exportacion,Pecuario,Animales vivos (peces)
Exportacion,Pecuario,Animales vivos (ovinos o caprinos)
Exportacion,Pecuario,Animales vivos (los demás)
Exportacion,Pecuario,Animales vivos (equinos)
Exportacion,Pecuario,Animales vivos (bovinos)
Exportacion,Pecuario,Animales vivos (avícola)
Exportacion,Materiales de Construcción,Amianto (materiales de construcción)
Exportacion,Suministros Industriales,Amianto (artículos industriales)
Exportacion,Materiales de Construcción,Aluminio (materiales de construcción)
Exportacion,Suministros Industriales,Aluminio (artículos industriales)
Exportacion,Alimentos,Alimentos para animales
Exportacion,Agrícola,Algodón y demás fibras vegetales de uso textil
Exportacion,Vehículos y Automotriz,Aeronaves y sus partes
Exportacion,Químicos ,Adhesivos y materias albuminoideas
Exportacion,Químicos ,Aceites minerales y ceras.
Exportacion,Salud y Belleza,Aceites esenciales y resinoides
Exportacion,Alimentos,Aceite de palma
Exportacion,Materiales de Construcción,Accesorios
Exportacion,Químicos ,Abonos
Inversion,Manufacturas,Vehículos y otros medios de transporte
Inversion,Manufacturas,Autopartes
Inversion,Manufacturas,Vehículos y otros medios de transporte
Inversion,Manufacturas,Materiales de construcción
Inversion,Industria textil,Textiles y confecciones
Inversion,Manufacturas,Instrumentos y aparatos
Inversion,Manufacturas,Muebles y maderas
Inversion,Manufacturas,Metalmecánica
Inversion,Manufacturas,Papel y cartón
Inversion,Manufacturas,Metalmecánica
Inversion,Manufacturas,Vehículos y otros medios de transporte
Inversion,Manufacturas,Artículos de hogar oficina hoteles e industrial
Inversion,Infraestructura hotelera y turismo,Infraestructura en Turismo
Inversion,Servicios de salud y ciencias de la vida,Servicios de salud
Inversion,Servicios de salud y ciencias de la vida,Farmacéutico
Inversion,Servicios de salud y ciencias de la vida,Farmacéutico
Inversion,Servicios de salud y ciencias de la vida,Cosméticos y productos de aseo
Inversion,Servicios de salud y ciencias de la vida,Cosméticos y productos de aseo
Inversion,Servicios de salud y ciencias de la vida,Dotación Hospitalaria
Inversion,Servicios de salud y ciencias de la vida,Envases/empaques
Inversion,Servicios de salud y ciencias de la vida,Químico
Inversion,Servicios de salud y ciencias de la vida,Químico
Inversion,Servicios de salud y ciencias de la vida,Químico
Inversion,Infraestructura,Infraestructura
Inversion,Infraestructura,Infraestructura
Inversion,Infraestructura,Infraestructura
Inversion,Tecnología de la información e industrias creativas,Software y Servicios TI
Inversion,Tecnología de la información e industrias creativas,Centro de servicios compartidos
Inversion,Tecnología de la información e industrias creativas,Software y Servicios TI
Inversion,Tecnología de la información e industrias creativas,Producción audiovisual
Inversion,Tecnología de la información e industrias creativas,Telecomunicaciones
Inversion,Tecnología de la información e industrias creativas,Software y Servicios TI
Inversion,Tecnología de la información e industrias creativas,BPO
Inversion,Agroindustria y producción de alimentos,Forestal
Inversion,Agroindustria y producción de alimentos,Cárnico
Inversion,Agroindustria y producción de alimentos,Agroindustrial
Inversion,Agroindustria y producción de alimentos,Cacao y sus derivados
Inversion,Agroindustria y producción de alimentos,Aceites y grasas
Inversion,Agroindustria y producción de alimentos,Frutas y hortalizas frescas y procesadas
Inversion,"Fondos de capital privado , capital de riesgo, e inmobiliario",Fondos de Inversión - Otros
Inversion,"Fondos de capital privado , capital de riesgo, e inmobiliario",Venture Capital
Inversion,Inmobiliario,Fondos de Inversión - Inmobiliario
Inversion,Energía,Energías renovables
Inversion,"Fondos de capital privado , capital de riesgo, e inmobiliario",Fondo de inversión - Agroalimentos
